7672,OPEN,Logging docker commands generated from compose files,kind/feature,2020-08-17 05:59:15 +0000 UTC
7669,OPEN,Add docker-compose tag <service> <tag> and allow to push a specific tag by using push command,kind/feature,2020-08-14 14:42:57 +0000 UTC
7667,OPEN,docker-compose never runs on Mac Catalina,kind/bug,2020-10-02 09:34:38 +0000 UTC
7652,OPEN,unable to trap signal when containers are shut down with --abort-on-container-exit,kind/bug,2021-02-06 15:43:06 +0000 UTC
7649,OPEN,using multiple compose files in different directories leads to undefined behavior,kind/bug,2020-09-05 07:07:11 +0000 UTC
7648,OPEN,disable env variable substitution in docker compose env files,kind/feature,2021-01-11 17:10:55 +0000 UTC
7645,OPEN,[BUG] Overriding of the 'ports' directive doesn't working when original port already in use,kind/bug,2021-02-02 15:14:38 +0000 UTC
7642,OPEN,Check engine API and warn user for feature that can't be implemented,kind/feature,2020-08-03 12:06:46 +0000 UTC
7636,OPEN,Embed config in docker-compose.yaml file,kind/feature,2020-07-28 04:29:26 +0000 UTC
7630,OPEN,Connection broken: IncompleteRead,kind/bug,2020-11-09 10:35:56 +0000 UTC
7627,OPEN,Docker-Compose Ignores Exposed TCP/UDP on same Port,kind/bug,2020-10-21 09:20:38 +0000 UTC
7624,OPEN,Env files require strict whitespace,kind/bug,2020-11-21 01:54:06 +0000 UTC
7622,OPEN,docker-compose stopped responding to SIGINT and SIGTSTP,kind/bug,2021-02-14 00:26:34 +0000 UTC
7618,OPEN,Allow overwriting the service names in the compose file,kind/feature,2020-07-25 14:28:40 +0000 UTC
7616,OPEN,Wait or retry starting a container waiting for NFS volume to be mounted,kind/feature,2020-09-01 21:35:52 +0000 UTC
7613,OPEN,[Feature] Add flag to stop all dependent containers when using `run`,kind/feature,2020-07-17 23:00:19 +0000 UTC
7610,OPEN,[Feature] Reference external file URL for docker config creation,kind/feature,2020-07-16 19:27:11 +0000 UTC
7608,OPEN,docker-compose down is too slow if a service uses a custom logging driver,kind/bug,2021-01-14 12:51:51 +0000 UTC
7605,OPEN,docker-compose up --scale rescales not specified service,kind/bug,2020-09-05 07:14:24 +0000 UTC
7596,OPEN,How to change default IP range on windows ?,kind/question,2020-07-10 08:29:57 +0000 UTC
7595,OPEN,Fish completion,kind/feature,2020-07-09 15:30:17 +0000 UTC
7594,OPEN,Add memory-swap and memory-swappiness support to v3 since it was available in v2,kind/feature,2020-07-08 15:04:08 +0000 UTC
7591,OPEN,Disable interactivity of up command,kind/feature,2020-07-07 07:10:34 +0000 UTC
7585,OPEN,Attach to an already running container via service.,kind/feature,2020-07-05 22:32:15 +0000 UTC
7577,OPEN,Docker Compose with volume stuck on "compose.parallel.feed_queue: Pending: set()",kind/bug,2021-02-10 09:13:28 +0000 UTC
7566,OPEN,config and secret variable expansion,kind/feature,2020-06-29 19:09:23 +0000 UTC
7562,OPEN,Your kernel or machine may not be supported,kind/feature,2021-01-05 11:55:28 +0000 UTC
7558,OPEN,the use of docker in different os,kind/question,2020-12-21 07:49:27 +0000 UTC
